Imperfective	Perfective
обставляться	обставиться
вставляться	вставиться
представляться	представиться
составляться	составиться
расставляться	расставиться
уставляться	уставиться
выставляться	выставиться
обвиваться	обвиться
подвиваться	подвиться
перевиваться	перевиться
удешевляться	удешевиться
одушевляться	одушевиться
воодушевляться	воодушевиться
развиваться	развиться
взвиваться	взвиться
отрезвляться	отрезвиться
протрезвляться	протрезвиться
вытрезвляться	вытрезвиться
извиваться	извиться
удивляться	удивиться
приживляться	приживиться
оживляться	оживиться
перекривляться	перекривиться
искривляться	искривиться
прививаться	привиться
умилостивляться	умилостивиться
овиваться	овиться
довиваться	довиться
благословляться	благословиться
уславливаться	условиться
останавливаться	остановиться
приостанавливаться	приостановиться
расстанавливаться	расстановиться
восстанавливаться	восстановиться
устанавливаться	установиться
обновляться	обновиться
возобновляться	возобновиться
подновляться	подновиться
вдохновляться	вдохновиться
обескровливаться	обескровиться
оздоровляться	оздоровиться
приноравливаться	приноровиться
подготавливаться	подготовиться
переподготавливаться	переподготовиться
изготовляться	изготовиться
приготавливаться	приготовиться
свиваться	свиться
разветвляться	разветвиться
ответвляться	ответвиться
отождествляться	отождествиться
отожествляться	отожествиться
обобществляться	обобществиться
овеществляться	овеществиться
пресуществляться	пресуществиться
осуществляться	осуществиться
увиваться	увиться
являться	явиться
заявляться	заявиться
появляться	появиться
проявляться	проявиться
издырявливаться	издырявиться
продырявливаться	продырявиться
объявляться	объявиться
выявляться	выявиться
отваживаться	отвадиться
обгаживаться	обгадиться
изгаживаться	изгадиться
налаживаться	наладиться
облаживаться	обладиться
заглаживаться	загладиться
разглаживаться	разгладиться
изглаживаться	изгладиться
приглаживаться	пригладиться
проглаживаться	прогладиться
сглаживаться	сгладиться
отглаживаться	отгладиться
выглаживаться	выгладиться
подлаживаться	подладиться
разлаживаться	разладиться
прилаживаться	приладиться
слаживаться	сладиться
наслаждаться	насладиться
услаждаться	усладиться
улаживаться	уладиться
охлаждаться	охладиться
переохлаждаться	переохладиться
прохлаждаться	прохладиться
напомаживаться	напомадиться
ограждаться	оградиться
надсаживаться	надсадиться
высаживаться	высадиться
снабжаться	снабдиться
убеждаться	убедиться
переубеждаться	переубедиться
разубеждаться	разубедиться
повреждаться	повредиться
разрежаться	разредиться
учреждаться	учредиться
нацеживаться	нацедиться
подцеживаться	подцедиться
отцеживаться	отцедиться
уцеживаться	уцедиться
выцеживаться	выцедиться
проезживаться	проездиться
уезживаться	уездиться
объезжаться	объездиться
изъезживаться	изъездиться
нагромождаться	нагромоздиться
взгромождаться	взгромоздиться
разжижаться	разжидиться
сжижаться	сжидиться
освобождаться	освободиться
высвобождаться	высвободиться
обезвоживаться	обезводиться
пригождаться	пригодиться
подмолаживаться	подмолодиться
омолаживаться	омолодиться
выхолаживаться	выхолодиться
распложаться	расплодиться
*	родиться
зарождаться	зародиться
нарождаться	народиться
перерождаться	переродиться
возрождаться	возродиться
загораживаться	загородиться
облагораживаться	облагородиться
обгораживаться	обгородиться
перегораживаться	перегородиться
разгораживаться	разгородиться
огораживаться	огородиться
отгораживаться	отгородиться
выгораживаться	выгородиться
урождаться	уродиться
вырождаться	выродиться
подтверждаться	подтвердиться
утверждаться	утвердиться
возбуждаться	возбудиться
пробуждаться	пробудиться
пробуждаться	пробудиться
запруживаться	запрудиться
натруживаться	натрудиться
застуживаться	застудиться
простуживаться	простудиться
выстуживаться	выстудиться
устыжаться	устыдиться
заряжаться	зарядиться
подзаряжаться	подзарядиться
перезаряжаться	перезарядиться
наряжаться	нарядиться
принаряжаться	принарядиться
снаряжаться	снарядиться
обряжаться	обрядиться
подряжаться	подрядиться
переряживаться	перерядиться
разряжаться	разрядиться
разряжаться	разрядиться
распоряжаться	распорядиться
сряжаться	срядиться
уряжаться	урядиться
выряжаться	вырядиться
заклеиваться	заклеиться
наклеиваться	наклеиться
вклеиваться	вклеиться
приклеиваться	приклеиться
склеиваться	склеиться
расклеиваться	расклеиться
отклеиваться	отклеиться
уклеиваться	уклеиться
выклеиваться	выклеиться
оевропеиваться	оевропеиться
отваживаться	отважиться
заживаться	зажиться
увлажаться	увлажиться
наживаться	нажиться
обнажаться	обнажиться
раздражаться	раздражиться
взбудораживаться	взбудоражиться
обживаться	обжиться
вживаться	вжиться
освежаться	освежиться
просвежаться	просвежиться
перемежаться	перемежиться
смежаться	смежиться
разнеживаться	разнежиться
изнеживаться	изнежиться
искореживаться	искорежиться
съеживаться	съежиться
разживаться	разжиться
размозжаться	размозжиться
приживаться	прижиться
уничижаться	уничижиться
одолжаться	одолжиться
продолжаться	продолжиться
растревоживаться	растревожиться
скукоживаться	скукожиться
обкладываться	обложиться
разлагаться	разложиться
раскладываться	разложиться
прикладываться	приложиться
докладываться	доложиться
полагаться	положиться
располагаться	расположиться
складываться	сложиться
отлагаться	отложиться
откладываться	отложиться
укладываться	уложиться
выкладываться	выложиться
размножаться	размножиться
помножаться	помножиться
умножаться	умножиться
приумножаться	приумножиться
створаживаться	створожиться
удорожаться	удорожиться
настораживаться	насторожиться
проживаться	прожиться
изничтожаться	изничтожиться
уничтожаться	уничтожиться
сживаться	сжиться
уживаться	ужиться
подслуживаться	подслужиться
прислуживаться	прислужиться
дослуживаться	дослужиться
выслуживаться	выслужиться
обнаруживаться	обнаружиться
сдружаться	сдружиться
разоружаться	разоружиться
вооружаться	вооружиться
перевооружаться	перевооружиться
довооружаться	довооружиться
напруживаться	напружиться
удосуживаться	удосужиться
натуживаться	натужиться
поднатуживаться	поднатужиться
напыживаться	напыжиться
заутюживаться	заутюжиться
разутюживаться	разутюжиться
искажаться	исказиться
заражаться	заразиться
преображаться	преобразиться
обезображиваться	обезобразиться
изображаться	изобразиться
воображаться	вообразиться
соображаться	сообразиться
отображаться	отобразиться
разражаться	разразиться
поражаться	поразиться
сражаться	сразиться
отражаться	отразиться
выражаться	выразиться
самовыражаться	самовыразиться
обуржуазиваться	обуржуазиться
приближаться	приблизиться
сближаться	сблизиться
обремизиваться	обремизиться
понижаться	понизиться
снижаться	снизиться
унижаться	унизиться
вонзаться	вонзиться
пронзаться	пронзиться
затормаживаться	затормозиться
обмораживаться	обморозиться
вымораживаться	выморозиться
загружаться	загрузиться
нагружаться	нагрузиться
перегружаться	перегрузиться
разгружаться	разгрузиться
догружаться	догрузиться
погружаться	погрузиться
погружаться	погрузиться
сгружаться	сгрузиться
отгружаться	отгрузиться
выгружаться	выгрузиться
водружаться	водрузиться
суживаться	сузиться
офранцуживаться	офранцузиться
закабаляться	закабалиться
раскабаляться	раскабалиться
заваливаться	завалиться
наваливаться	навалиться
обваливаться	обвалиться
вваливаться	ввалиться
подваливаться	подвалиться
переваливаться	перевалиться
разваливаться	развалиться
приваливаться	привалиться
доваливаться	довалиться
проваливаться	провалиться
сваливаться	свалиться
отваливаться	отвалиться
расхваливаться	расхвалиться
вываливаться	вывалиться
отдаляться	отдалиться
удаляться	удалиться
заливаться	залиться
закаливаться	закалиться
закаливаться	закалиться
накаливаться	накалиться
перекаливаться	перекалиться
докаливаться	докалиться
прокаливаться	прокалиться
раскаляться	раскалиться
оскаливаться	оскалиться
умаляться	умалиться
накрахмаливаться	накрахмалиться
подкрахмаливаться	подкрахмалиться
прокрахмаливаться	прокрахмалиться
наливаться	налиться
запаливаться	запалиться
опаливаться	опалиться
настропаляться	настропалиться
распаляться	распалиться
воспаляться	воспалиться
засаливаться	засалиться
обсаливаться	обсалиться
просаливаться	просалиться
иссаливаться	иссалиться
усаливаться	усалиться
высаливаться	высалиться
подчаливаться	подчалиться
размочаливаться	размочалиться
измочаливаться	измочалиться
счаливаться	счалиться
отчаливаться	отчалиться
обливаться	облиться
доскабливаться	доскоблиться
соскабливаться	соскоблиться
отскабливаться	отскоблиться
выскабливаться	выскоблиться
вливаться	влиться
обугливаться	обуглиться
закругляться	закруглиться
округляться	округлиться
скругляться	скруглиться
замедляться	замедлиться
умедляться	умедлиться
подливаться	подлиться
остебеляться	остебелиться
обеляться	обелиться
пробеливаться	пробелиться
выбеливаться	выбелиться
расшевеливаться	расшевелиться
переделяться	переделиться
определяться	определиться
предопределяться	предопределиться
самоопределяться	самоопределиться
распределяться	распределиться
перераспределяться	перераспределиться
разделяться	разделиться
отделяться	отделиться
выделяться	выделиться
утяжеляться	утяжелиться
осмеливаться	осмелиться
похмеляться	похмелиться
опохмеляться	опохмелиться
испепеляться	испепелиться
переливаться	перелиться
застреливаться	застрелиться
заселяться	заселиться
населяться	населиться
вселяться	вселиться
подселяться	подселиться
развеселяться	развеселиться
взвеселяться	взвеселиться
возвеселяться	возвеселиться
переселяться	переселиться
приселяться	приселиться
поселяться	поселиться
сселяться	сселиться
расселяться	расселиться
отселяться	отселиться
выселяться	выселиться
отеляться	отелиться
растеливаться	растелиться
постилаться	постелиться
расстилаться	расстелиться
устилаться	устелиться
нацеливаться	нацелиться
прицеливаться	прицелиться
исцеляться	исцелиться
раскошеливаться	раскошелиться
разливаться	разлиться
изливаться	излиться
заиливаться	заилиться
нажиливаться	нажилиться
умиляться	умилиться
испиливаться	испилиться
зашпиливаться	зашпилиться
отшпиливаться	отшпилиться
приливаться	прилиться
усиливаться	усилиться
зацикливаться	зациклиться
окукливаться	окуклиться
заземляться	заземлиться
приземляться	приземлиться
увольняться	уволиться
заголяться	заголиться
оголяться	оголиться
доливаться	долиться
взмаливаться	взмолиться
засмаливаться	засмолиться
пересмаливаться	пересмолиться
просмаливаться	просмолиться
высмаливаться	высмолиться
отмаливаться	отмолиться
поливаться	политься
проливаться	пролиться
засаливаться	засолиться
подсаливаться	подсолиться
досаливаться	досолиться
просаливаться	просолиться
усаливаться	усолиться
замусоливаться	замусолиться
обмусоливаться	обмусолиться
измусоливаться	измусолиться
засусоливаться	засусолиться
высаливаться	высолиться
утоляться	утолиться
утепляться	утеплиться
рассверливаться	рассверлиться
иссверливаться	иссверлиться
высверливаться	высверлиться
сливаться	слиться
замасливаться	замаслиться
обмасливаться	обмаслиться
перемасливаться	перемаслиться
измасливаться	измаслиться
промасливаться	промаслиться
умасливаться	умаслиться
окисляться	окислиться
окисляться	окислиться
зачисляться	зачислиться
перечисляться	перечислиться
отчисляться	отчислиться
замусливаться	замуслиться
обмусливаться	обмуслиться
измусливаться	измуслиться
обессмысливаться	обессмыслиться
осветляться	осветлиться
просветляться	просветлиться
отливаться	отлиться
растлеваться	растлиться
уливаться	улиться
обмишуливаться	обмишулиться
нахохливаться	нахохлиться
подрыхляться	подрыхлиться
разрыхляться	разрыхлиться
опошляться	опошлиться
выливаться	вылиться
намыливаться	намылиться
обмыливаться	обмылиться
взмыливаться	взмылиться
измыливаться	измылиться
вымыливаться	вымылиться
опыляться	опылиться
распыляться	распылиться
окрыляться	окрылиться
завяливаться	завялиться
обвяливаться	обвялиться
провяливаться	провялиться
вывяливаться	вывялиться
напяливаться	напялиться
впяливаться	впялиться
выпяливаться	выпялиться
посрамляться	посрамиться
устремляться	устремиться
ущемляться	ущемиться
окаймляться	окаймиться
осведомляться	осведомиться
раззнакомливаться	раззнакомиться
ознакомляться	ознакомиться
обламываться	обломиться
вламываться	вломиться
надламываться	надломиться
подламываться	подломиться
переламываться	переломиться
преломляться	преломиться
разламываться	разломиться
проламываться	проломиться
сламываться	сломиться
отламываться	отломиться
выламываться	выломиться
притомляться	притомиться
истомляться	истомиться
утомляться	утомиться
переутомляться	переутомиться
подкармливаться	подкормиться
прикармливаться	прикормиться
прокармливаться	прокормиться
откармливаться	откормиться
выкармливаться	выкормиться
оформляться	оформиться
затмеваться	затмиться
образумливаться	образумиться
изумляться	изумиться
распрямляться	распрямиться
испрямляться	испрямиться
выпрямляться	выпрямиться
оболваниваться	оболваниться
опоганиваться	опоганиться
испоганиваться	испоганиться
одурманиваться	одурманиться
затуманиваться	затуманиться
притуманиваться	притуманиться
отуманиваться	отуманиться
распространяться	распространиться
отстраняться	отстраниться
устраняться	устраниться
самоустраняться	самоустраниться
предохраняться	предохраниться
сохраняться	сохраниться
приосаниваться	приосаниться
обмещаниваться	обмещаниться
омещаниваться	омещаниться
прибедняться	прибедниться
упраздняться	упраздниться
припоздняться	припоздниться
наводняться	наводниться
приводняться	приводниться
затрудняться	затрудниться
остервеняться	остервениться
оказениваться	оказениться
облениваться	облениться
озеленяться	озелениться
разлениваться	разлениться
излениваться	излениться
пленяться	плениться
сочленяться	сочлениться
расчленяться	расчлениться
заменяться	замениться
воспламеняться	воспламениться
самовоспламеняться	самовоспламениться
обмениваться	обмениться
вменяться	вмениться
обременяться	обремениться
осовремениваться	осовремениться
переменяться	перемениться
обсеменяться	обсемениться
изменяться	измениться
видоизменяться	видоизмениться
применяться	примениться
сменяться	смениться
отменяться	отмениться
остепеняться	остепениться
вспениваться	вспениться
накреняться	накрениться
вкореняться	вкорениться
искореняться	искорениться
укореняться	укорениться
осеняться	осениться
прицениваться	прицениться
обесцениваться	обесцениться
подбочениваться	подбочениться
избочениваться	избочениться
увлажняться	увлажниться
переувлажняться	переувлажниться
испражняться	испражниться
осложняться	осложниться
усложняться	усложниться
опорожняться	опорожниться
опорожняться	опорожниться
соблазняться	соблазниться
разрозниваться	разрозниться
загрязняться	загрязниться
изгрязняться	изгрязниться
извиняться	извиниться
соединяться	соединиться
присоединяться	присоединиться
воссоединяться	воссоединиться
отсоединяться	отсоединиться
уединяться	уединиться
объединяться	объединиться
разъединяться	разъединиться
отъединяться	отъединиться
напружиниваться	напружиниться
прорезиниваться	прорезиниться
удлиняться	удлиниться
заклиниваться	заклиниться
заклиниваться	заклиниться
вклиниваться	вклиниться
вклиниваться	вклиниться
расклиниваться	расклиниться
расклиниваться	расклиниться
выклиниваться	выклиниться
засиниваться	засиниться
подсиниваться	подсиниться
пересиниваться	пересиниться
ощетиниваться	ощетиниться
обчиниваться	обчиниться
подчиняться	подчиниться
починяться	починиться
учиняться	учиниться
заполняться	заполниться
наполняться	наполниться
переполняться	переполниться
дополняться	дополниться
пополняться	пополниться
исполняться	исполниться
преисполняться	преисполниться
восполняться	восполниться
выполняться	выполниться
затемняться	затемниться
утемняться	утемниться
запоминаться	запомниться
припоминаться	припомниться
опоминаться	опомниться
вспоминаться	вспомниться
раззваниваться	раззвониться
дозваниваться	дозвониться
созваниваться	созвониться
наклоняться	наклониться
преклоняться	преклониться
приклоняться	приклониться
склоняться	склониться
отклоняться	отклониться
уклоняться	уклониться
заслоняться	заслониться
прислоняться	прислониться
отслоняться	отслониться
угомоняться	угомониться
засупониваться	засупониться
рассупониваться	рассупониться
обороняться	оборониться
прифасониваться	прифасониться
утоняться	утониться
укрупняться	укрупниться
разукрупняться	разукрупниться
оскверняться	оскверниться
подчерняться	подчерниться
опресняться	опресниться
стесняться	стесниться
оттесняться	оттесниться
утесняться	утесниться
вытисняться	вытисниться
залосниваться	залосниться
проясниваться	проясниться
проясняться	проясниться
уясняться	уясниться
объясняться	объясниться
разъясниваться	разъясниться
разъясняться	разъясниться
изъясняться	изъясниться
выясняться	выясниться
уплотняться	уплотниться
самоуплотняться	самоуплотниться
прилуняться	прилуниться
уточняться	уточниться
утучняться	утучниться
одомашниваться	одомашниться
пригорюниваться	пригорюниться
зарумяниваться	зарумяниться
нарумяниваться	нарумяниться
подрумяниваться	подрумяниться
разрумяниваться	разрумяниться
раздваиваться	раздвоиться
сдваиваться	сдвоиться
сдваиваться	сдвоиться
удваиваться	удвоиться
осваиваться	освоиться
раздаиваться	раздоиться
издаиваться	издоиться
отдаиваться	отдоиться
успокаиваться	успокоиться
самоуспокаиваться	самоуспокоиться
упокоеваться	упокоиться
наслаиваться	наслоиться
переслаиваться	переслоиться
прослаиваться	прослоиться
расслаиваться	расслоиться
отслаиваться	отслоиться
загнаиваться	загноиться
нагнаиваться	нагноиться
выкраиваться	выкроиться
застраиваться	застроиться
настраиваться	настроиться
обстраиваться	обстроиться
встраиваться	встроиться
подстраиваться	подстроиться
перестраиваться	перестроиться
пристраиваться	пристроиться
достраиваться	достроиться
расстраиваться	расстроиться
отстраиваться	отстроиться
устраиваться	устроиться
благоустраиваться	благоустроиться
трудоустраиваться	трудоустроиться
выстраиваться	выстроиться
утраиваться	утроиться
удостаиваться	удостоиться
напиваться	напиться
вкрапливаться	вкрапиться
впиваться	впиться
залепляться	залепиться
налепляться	налепиться
облепляться	облепиться
влепляться	влепиться
разлепляться	разлепиться
прилепляться	прилепиться
слепляться	слепиться
ослепляться	ослепиться
отлепляться	отлепиться
улепляться	улепиться
вылепляться	вылепиться
перепиваться	перепиться
закрепляться	закрепиться
подкрепляться	подкрепиться
прикрепляться	прикрепиться
скрепляться	скрепиться
раскрепляться	раскрепиться
открепляться	открепиться
укрепляться	укрепиться
зацепляться	зацепиться
нацепляться	нацепиться
вцепляться	вцепиться
подцепляться	подцепиться
прицепляться	прицепиться
сцепляться	сцепиться
расцепляться	расцепиться
отцепляться	отцепиться
уцепляться	уцепиться
расщепляться	расщепиться
отщепляться	отщепиться
опиваться	опиться
допиваться	допиться
накапливаться	накопиться
скапливаться	скопиться
окропляться	окропиться
пропиваться	пропиться
затапливаться	затопиться
затопляться	затопиться
перетапливаться	перетопиться
протапливаться	протопиться
стапливаться	стопиться
растапливаться	растопиться
истапливаться	истопиться
оттапливаться	оттопиться
утапливаться	утопиться
вытапливаться	вытопиться
спиваться	спиться
упиваться	упиться
окупаться	окупиться
совокупляться	совокупиться
присовокупляться	присовокупиться
самоокупаться	самоокупиться
искупаться	искупиться
откупаться	откупиться
выкупаться	выкупиться
залупляться	залупиться
облупливаться	облупиться
слупливаться	слупиться
вылупливаться	вылупиться
насупливаться	насупиться
затупляться	затупиться
притупляться	притупиться
потупляться	потупиться
заступаться	заступиться
вступаться	вступиться
подступаться	подступиться
приступаться	приступиться
оступаться	оступиться
поступаться	поступиться
расступаться	расступиться
отступаться	отступиться
завариваться	завариться
обвариваться	обвариться
подвариваться	подвариться
перевариваться	перевариться
развариваться	развариться
привариваться	привариться
довариваться	довариться
недовариваться	недовариться
провариваться	провариться
затовариваться	затовариться
отовариваться	отовариться
свариваться	свариться
отвариваться	отвариться
увариваться	увариться
вывариваться	вывариться
раскочегариваться	раскочегариться
отдариваться	отдариться
ударяться	удариться
зажариваться	зажариться
нажариваться	нажариться
обжариваться	обжариться
поджариваться	поджариться
пережариваться	пережариться
дожариваться	дожариться
недожариваться	недожариться
прожариваться	прожариться
ужариваться	ужариться
выжариваться	выжариться
озаряться	озариться
запариваться	запариться
напариваться	напариться
перепариваться	перепариться
допариваться	допариться
пропариваться	пропариться
спариваться	спариться
распариваться	распариться
испаряться	испариться
отпариваться	отпариться
упариваться	упариться
ошпариваться	ошпариться
выпариваться	выпариться
засахариваться	засахариться
обсахариваться	обсахариться
воцаряться	воцариться
нафабриваться	нафабриться
прифабриваться	прифабриться
подбриваться	подбриться
перебриваться	перебриться
обриваться	обриться
добриваться	добриться
пробриваться	пробриться
отбриваться	отбриться
зазубриваться	зазубриться
иззубриваться	иззубриться
выбриваться	выбриться
обагряться	обагриться
разведриваться	разведриться
внедряться	внедриться
расщедриваться	расщедриться
выпендриваться	выпендриться
подбодряться	подбодриться
взбадриваться	взбодриться
ободряться	ободриться
приободряться	приободриться
умудряться	умудриться
запудриваться	запудриться
напудриваться	напудриться
припудриваться	припудриться
вверяться	ввериться
извериваться	извериться
доверяться	довериться
проверяться	провериться
удостоверяться	удостовериться
сверяться	свериться
учетверяться	учетвериться
уверяться	увериться
разуверяться	разувериться
вознамериваться	вознамериться
обмериваться	обмериться
усемеряться	усемериться
примериваться	примериться
умеряться	умериться
вперяться	впериться
оперяться	опериться
ушестеряться	ушестериться
удевятеряться	удевятериться
упятеряться	упятериться
удесятеряться	удесятериться
ощериваться	ощериться
обезжириваться	обезжириться
растранжириваться	растранжириться
прожириваться	прожириться
замиряться	замириться
примиряться	примириться
утихомириваться	утихомириться
смиряться	смириться
усмиряться	усмириться
умиряться	умириться
расширяться	расшириться
уширяться	ушириться
водворяться	водвориться
заговариваться	заговориться
подговариваться	подговориться
оговариваться	оговориться
договариваться	договориться
проговариваться	проговориться
сговариваться	сговориться
отговариваться	отговориться
уговариваться	уговориться
выговариваться	выговориться
затворяться	затвориться
удовлетворяться	удовлетвориться
претворяться	претвориться
притворяться	притвориться
притворяться	притвориться
отворяться	отвориться
ублаготворяться	ублаготвориться
оплодотворяться	оплодотвориться
приотворяться	приотвориться
умиротворяться	умиротвориться
одухотворяться	одухотвориться
створяться	створиться
растворяться	раствориться
растворяться	раствориться
раззадориваться	раззадориться
разоряться	разориться
покоряться	покориться
ускоряться	ускориться
размариваться	размориться
застопориваться	застопориться
закупориваться	закупориться
раскупориваться	раскупориться
откупориваться	откупориться
засоряться	засориться
рассориваться	рассориться
замусориваться	замусориться
повторяться	повториться
зашториваться	зашториться
обветриваться	обветриться
проветриваться	проветриться
выветриваться	выветриться
исхитряться	исхитриться
ухитряться	ухитриться
заостряться	заостриться
обостряться	обостриться
убыстряться	убыстриться
забуриваться	забуриться
накуриваться	накуриться
обкуриваться	обкуриться
докуриваться	докуриться
прокуриваться	прокуриться
раскуриваться	раскуриться
искуриваться	искуриться
выкуриваться	выкуриться
зажмуриваться	зажмуриться
нахмуриваться	нахмуриться
изнуряться	изнуриться
понуриваться	понуриться
окультуриваться	окультуриться
обмишуриваться	обмишуриться
прищуриваться	прищуриться
сощуриваться	сощуриться
изощряться	изощриться
вспузыриваться	вспузыриться
вспузыриваться	вспузыриться
растопыриваться	растопыриться
оттопыриваться	оттопыриться
отбояриваться	отбояриться
разъяряться	разъяриться
заквашиваться	закваситься
подквашиваться	подкваситься
